seed,eta,factor,criterion,pathway,active_alternatives,RE,base_IQR,SRE
21002,0.7,h_T,C3,h_T->C3,5,0.028243439631956566,0.14276358107538445,0.19783364510060272
21002,0.7,h_T,C7,h_T->C7,6,0.0452952541540936,0.10181793585228617,0.44486517797180125
21002,0.8,h_D,C1,h_D->C1,6,0.07517292240056025,0.12096857150304176,0.6214252302553528
21002,0.8,h_D,C2,h_D->C2,6,0.055779550789772765,0.15389044006734465,0.3624627414477493
21002,0.8,h_D,C3,h_D->C3,5,0.04425038261558406,0.15232902727250008,0.2904921235801922
21002,0.8,h_D,C4,h_D->C4,6,0.039354952396655464,0.11383139221752993,0.34573022107208407
21002,0.8,h_D,C6,h_D->C6,6,0.035530847715725275,0.08379877479288647,0.4240019952931033
21002,0.8,h_D,C7,h_D->C7,6,0.03008707813305953,0.10617935311020818,0.28336091011542963
21002,0.8,h_E,C6,h_E->C6,6,0.023647550245016316,0.08379877479288647,0.2821944629045044
21002,0.8,h_I,C2,h_I->C2,6,0.03709778510634019,0.15389044006734465,0.24106620976497697
21002,0.8,h_I,C4,h_I->C4,6,0.03976485242206627,0.11383139221752993,0.34933116117676005
21002,0.8,h_I,C5,h_I->C5,5,0.09024289298347656,0.1598518061546217,0.5645409654966409
21002,0.8,h_T,C3,h_T->C3,5,0.03005280542698722,0.15232902727250008,0.19728876344118396
21002,0.8,h_T,C7,h_T->C7,6,0.04671335209541363,0.10617935311020818,0.4399476049405561
21002,0.9,h_D,C1,h_D->C1,6,0.07739881463466863,0.1261079160094216,0.6137506437603201
21002,0.9,h_D,C2,h_D->C2,6,0.05715881435394721,0.16563670888909593,0.34508542663615405
21002,0.9,h_D,C3,h_D->C3,5,0.04688372600481143,0.16110881654926953,0.2910065818165989
21002,0.9,h_D,C4,h_D->C4,6,0.04118661410310146,0.11641325514822318,0.3537966020304716
21002,0.9,h_D,C6,h_D->C6,6,0.03743448943006096,0.08852132084881045,0.42288670199097145
21002,0.9,h_D,C7,h_D->C7,6,0.030694519439026333,0.11099246634473285,0.2765459715384223
21002,0.9,h_E,C6,h_E->C6,6,0.024792365258249727,0.08852132084881045,0.28007224723085244
21002,0.9,h_I,C2,h_I->C2,6,0.03799502427918869,0.16563670888909593,0.22938770356998175
21002,0.9,h_I,C4,h_I->C4,6,0.04173277452728118,0.11641325514822318,0.35848816763852565
21002,0.9,h_I,C5,h_I->C5,5,0.09312783461150193,0.1604672252870975,0.5803542402151175
21002,0.9,h_T,C3,h_T->C3,5,0.03152688339158659,0.16110881654926953,0.19568689080246268
21002,0.9,h_T,C7,h_T->C7,6,0.04799819737191903,0.11099246634473285,0.43244554294710774
21002,1.0,h_D,C1,h_D->C1,6,0.07953349242955537,0.1312599875113234,0.605923358190845
21002,1.0,h_D,C2,h_D->C2,6,0.05860075329236893,0.17582817962122899,0.3332841949354992
21002,1.0,h_D,C3,h_D->C3,5,0.049653548704923285,0.16981107406855592,0.2924046560390096
21002,1.0,h_D,C4,h_D->C4,6,0.043140486478215403,0.12304432148368842,0.35060932481621093
21002,1.0,h_D,C6,h_D->C6,6,0.03898509727770745,0.09336804624612366,0.41754217684413036
21002,1.0,h_D,C7,h_D->C7,6,0.03116148352890002,0.11527806140655408,0.27031581853837483
21002,1.0,h_E,C6,h_E->C6,6,0.025858954757012994,0.09336804624612366,0.27695722248027244
21002,1.0,h_I,C2,h_I->C2,6,0.03898991319853073,0.17582817962122899,0.22175008171216629
21002,1.0,h_I,C4,h_I->C4,6,0.043561069424456866,0.12304432148368842,0.3540274666789689
21002,1.0,h_I,C5,h_I->C5,5,0.09550572433817714,0.16364330922870757,0.5836213211999698
21002,1.0,h_T,C3,h_T->C3,5,0.03309409867684644,0.16981107406855592,0.19488775309960554
21002,1.0,h_T,C7,h_T->C7,6,0.0491617188870357,0.11527806140655408,0.4264620543299158
21003,0.0,h_D,C1,h_D->C1,6,0.03888976865310149,0.09693691902648639,0.40118634925950475
21003,0.0,h_D,C2,h_D->C2,6,0.03657752911611439,0.12733511043431517,0.2872540730601979
21003,0.0,h_D,C3,h_D->C3,5,0.03364494777834748,0.09812004708685207,0.34289575654426024
21003,0.0,h_D,C4,h_D->C4,6,0.030871625824715976,0.13722794923916193,0.22496602183194986
21003,0.0,h_D,C6,h_D->C6,6,0.024356567600481452,0.05925050091199934,0.41107783436709666
21003,0.0,h_D,C7,h_D->C7,6,0.018388485984055382,0.10434402286510827,0.1762294138079288
21003,0.0,h_E,C6,h_E->C6,6,0.017430565827587396,0.05925050091199934,0.29418427792166046
21003,0.0,h_I,C2,h_I->C2,6,0.025584366772578533,0.12733511043431517,0.2009215422605308
21003,0.0,h_I,C4,h_I->C4,6,0.032356262472560314,0.13722794923916193,0.23578478474478828
21003,0.0,h_I,C5,h_I->C5,5,0.05771851103648562,0.11622485030733709,0.4966107582273679
21003,0.0,h_T,C3,h_T->C3,5,0.024050412749302256,0.09812004708685207,0.24511211992966786
21003,0.0,h_T,C7,h_T->C7,6,0.029647698890316633,0.10434402286510827,0.2841341370205732
21003,0.1,h_D,C1,h_D->C1,6,0.043870949674411915,0.09724120515945295,0.45115596420285625
