seed,rotation,factor,criterion,active_alternatives,re,sre,base_iqr
25003,0,h_D,C4,6,0.0293878119845205,0.29472584291943715,0.09971236893623504
25003,0,h_D,C6,6,0.021017504912178193,0.3668589702953802,0.05729042115254501
25003,0,h_D,C7,6,0.01999256816431124,0.18638923909876948,0.10726245925351191
25003,0,h_E,C6,6,0.013993174236591601,0.24424980572386196,0.05729042115254501
25003,0,h_I,C2,6,0.028907944702346214,0.23277613926355134,0.12418774876828587
25003,0,h_I,C4,6,0.03026902870764181,0.3035634297957052,0.09971236893623504
25003,0,h_I,C5,5,0.06657788499203987,0.5862874249945224,0.11355843934751904
25003,0,h_T,C3,5,0.02364498801826098,0.32933946414054377,0.07179518579601889
25003,0,h_T,C7,6,0.031010500385900024,0.28910860893389023,0.10726245925351191
25003,1,h_D,C1,6,0.05098561881588802,0.6145724312247443,0.08296112260302221
25003,1,h_D,C2,6,0.041870597377243426,0.35384212246966834,0.11833129725949676
25003,1,h_D,C3,5,0.03480402560971402,0.45719591426664363,0.07612497076900512
25003,1,h_D,C4,6,0.029357737291749193,0.31837088420226073,0.09221238105674223
25003,1,h_D,C6,6,0.020997418095487348,0.39696983221486765,0.05289424130276257
25003,1,h_D,C7,6,0.020105503331699238,0.19335246960288183,0.10398369037023265
25003,1,h_E,C6,6,0.014074863320072427,0.2660944362400984,0.05289424130276257
25003,1,h_I,C2,6,0.028802264828147833,0.24340360914612455,0.11833129725949676
25003,1,h_I,C4,6,0.030117065762677267,0.32660544513885115,0.09221238105674223
25003,1,h_I,C5,5,0.0664732678268109,0.6166657078240276,0.1077946559745513
25003,1,h_T,C3,5,0.023707757236556222,0.31143207014402674,0.07612497076900512
25003,1,h_T,C7,6,0.030806649477172515,0.29626424458671885,0.10398369037023265
25003,2,h_D,C1,6,0.0510016460377605,0.5954007996663173,0.08565935092083876
25003,2,h_D,C2,6,0.04190133780316378,0.3249983510705771,0.12892784737156843
25003,2,h_D,C3,5,0.0346581260266154,0.4629178478296762,0.07486884808750002
25003,2,h_D,C4,6,0.029186965864852303,0.34956071218715273,0.08349612770234949
25003,2,h_D,C6,6,0.02104380011760891,0.4118037509683735,0.05110152607330978
25003,2,h_D,C7,6,0.020365522309198292,0.2031781746294682,0.10023479316189002
25003,2,h_E,C6,6,0.01404363285268984,0.2748182673110027,0.05110152607330978
25003,2,h_I,C2,6,0.028992619633103168,0.22487476696420694,0.12892784737156843
