seed,tau,factor,criterion,pathway,active_alternatives,RE,base_IQR,SRE
27001,0.6,h_I,C2,h_I->C2,6,0.040275125904418785,0.14553085870754384,0.276746294647228
27001,0.6,h_I,C4,h_I->C4,6,0.04411024848652513,0.12649442911989553,0.34871297331495354
27001,0.6,h_I,C5,h_I->C5,5,0.09621546237244613,0.14097553420362502,0.6824975902044822
27001,0.6,h_T,C3,h_T->C3,5,0.03374400949013624,0.10426888232761233,0.32362492755786043
27001,0.6,h_T,C7,h_T->C7,6,0.048851706600298944,0.10166518622423848,0.4805155866440685
27001,0.7,h_D,C1,h_D->C1,6,0.07988737385933217,0.12371214954190934,0.6457520474302596
27001,0.7,h_D,C2,h_D->C2,6,0.061023338743460005,0.14528011758428871,0.4200391612956632
27001,0.7,h_D,C3,h_D->C3,5,0.0490747770011071,0.10404015866631375,0.4716907166398325
27001,0.7,h_D,C4,h_D->C4,6,0.04366473527763949,0.1269288387311206,0.34400957035297997
27001,0.7,h_D,C6,h_D->C6,6,0.03965749058327153,0.07735338845420238,0.512679423296865
27001,0.7,h_D,C7,h_D->C7,6,0.031946139580703074,0.10165068937916537,0.3142737130018577
27001,0.7,h_E,C6,h_E->C6,6,0.02434224373014192,0.07735338845420238,0.31468878372715664
27001,0.7,h_I,C2,h_I->C2,6,0.04026915689402835,0.14528011758428871,0.2771828489909349
27001,0.7,h_I,C4,h_I->C4,6,0.043943520340371876,0.1269288387311206,0.3462059590186066
27001,0.7,h_I,C5,h_I->C5,5,0.09603042007826457,0.14008309915905026,0.6855246682438555
27001,0.7,h_T,C3,h_T->C3,5,0.033654011214470585,0.10404015866631375,0.32347135611437366
27001,0.7,h_T,C7,h_T->C7,6,0.04881914111257403,0.10165068937916537,0.48026374843356334
27001,0.8,h_D,C1,h_D->C1,6,0.07972677379568996,0.12373773012788254,0.6443206426418868
27001,0.8,h_D,C2,h_D->C2,6,0.06086866789233933,0.14530096930564476,0.418914396667798
27001,0.8,h_D,C3,h_D->C3,5,0.04890376752670898,0.10370820289942934,0.4715515856895301
27001,0.8,h_D,C4,h_D->C4,6,0.04346029917907438,0.12746094430953542,0.34096953709358424
27001,0.8,h_D,C6,h_D->C6,6,0.039475104210045714,0.07752777789889725,0.5091736830251397
27001,0.8,h_D,C7,h_D->C7,6,0.031921617427340454,0.10168696351736868,0.31392045079184755
27001,0.8,h_E,C6,h_E->C6,6,0.024315828843980043,0.07752777789889725,0.3136402139034126
27001,0.8,h_I,C2,h_I->C2,6,0.04016287779624039,0.14530096930564476,0.276411630203789
27001,0.8,h_I,C4,h_I->C4,6,0.04372457245886341,0.12746094430953542,0.34304290381166824
27001,0.8,h_I,C5,h_I->C5,5,0.0957641634273306,0.13917678406861253,0.6880757021906175
27001,0.8,h_T,C3,h_T->C3,5,0.03359370149246368,0.10370820289942934,0.3239252108602935
27001,0.8,h_T,C7,h_T->C7,6,0.048727627694787376,0.10168696351736868,0.479192474716636
27001,0.9,h_D,C1,h_D->C1,6,0.0794987352578674,0.12390925112571798,0.6415883764527526
27001,0.9,h_D,C2,h_D->C2,6,0.06071192101696751,0.14525389442821116,0.41797103792322204
27001,0.9,h_D,C3,h_D->C3,5,0.04875921939907549,0.10370088473279482,0.4701909682279255
27001,0.9,h_D,C4,h_D->C4,6,0.043260180876050144,0.12769381118845174,0.33878056009987495
27001,0.9,h_D,C6,h_D->C6,6,0.03937524594132856,0.07750746523913396,0.5080187543140006
