seed,p,factor,criterion,pathway,active_alternatives,RE,base_IQR,SRE
23002,3,h_I,C2,h_I->C2,6,0.03957576084929278,0.13934459622072431,0.28401360312760215
23002,3,h_I,C4,h_I->C4,6,0.04306960999943536,0.13975192668279238,0.3081861625914194
23002,3,h_I,C5,h_I->C5,5,0.09453190827377553,0.1399046565628282,0.6756880764054309
23002,3,h_T,C3,h_T->C3,5,0.031232995201473514,0.11671686862792964,0.2675962401010821
23002,3,h_T,C7,h_T->C7,6,0.0448638413295416,0.1006888137090072,0.44556927106871547
23002,4,h_D,C1,h_D->C1,6,0.07272011432660175,0.1148324864006625,0.6332712684826872
23002,4,h_D,C2,h_D->C2,6,0.05509580787580193,0.13445624693303732,0.4097675573439983
23002,4,h_D,C3,h_D->C3,5,0.04491393513669488,0.11972498173806673,0.37514255157358933
23002,4,h_D,C4,h_D->C4,6,0.039376543261848,0.1424768148182426,0.2763715858738435
23002,4,h_D,C6,h_D->C6,6,0.03627329576957032,0.07651812740380992,0.4740483987234923
23002,4,h_D,C7,h_D->C7,6,0.028474784086487126,0.09922428213506361,0.28697394905251533
23002,4,h_E,C6,h_E->C6,6,0.02661316589753354,0.07651812740380992,0.34780210650921706
23002,4,h_I,C2,h_I->C2,6,0.03878373238837812,0.13445624693303732,0.288448720477859
23002,4,h_I,C4,h_I->C4,6,0.04078273176963616,0.1424768148182426,0.2862411812151779
23002,4,h_I,C5,h_I->C5,5,0.09214877350533099,0.13406178683327102,0.687360475205709
23002,4,h_T,C3,h_T->C3,5,0.03002179783328525,0.11972498173806673,0.250756336707705
23002,4,h_T,C7,h_T->C7,6,0.0431187328958493,0.09922428213506361,0.4345582751278737
23002,5,h_D,C1,h_D->C1,6,0.0709590005211389,0.11314586919259426,0.6271461877209764
23002,5,h_D,C2,h_D->C2,6,0.05417260333234346,0.1323296723668001,0.40937608597544844
23002,5,h_D,C3,h_D->C3,5,0.043266013890286135,0.12132821184676411,0.35660307880061665
23002,5,h_D,C4,h_D->C4,6,0.03742815252268265,0.1453439211200222,0.25751439918507285
23002,5,h_D,C6,h_D->C6,6,0.03575105381894038,0.07552497511667965,0.4733673035076765
23002,5,h_D,C7,h_D->C7,6,0.027306684717030676,0.09766180939365855,0.2796045341191904
23002,5,h_E,C6,h_E->C6,6,0.026345525858626435,0.07552497511667965,0.34883197005462113
23002,5,h_I,C2,h_I->C2,6,0.037964633109865746,0.1323296723668001,0.28689433314960516
23002,5,h_I,C4,h_I->C4,6,0.03897230798573577,0.1453439211200222,0.26813854810814586
23002,5,h_I,C5,h_I->C5,5,0.09024230068325108,0.12879275419061398,0.7006783980175725
23002,5,h_T,C3,h_T->C3,5,0.02906742979166964,0.12132821184676411,0.23957684160170292
23002,5,h_T,C7,h_T->C7,6,0.04156968172490644,0.09766180939365855,0.4256493094134709
23003,1,h_D,C1,h_D->C1,6,0.08363970259144302,0.11986606958923592,0.6977763004774135
23003,1,h_D,C2,h_D->C2,6,0.06360758621266088,0.1378308224138677,0.46149029003979575
23003,1,h_D,C3,h_D->C3,5,0.05209400772963142,0.10334802927920171,0.5040638712944575
23003,1,h_D,C4,h_D->C4,6,0.046783857568693826,0.11367401683045048,0.41156157645121605
23003,1,h_D,C6,h_D->C6,6,0.040688510155425225,0.07177517472265349,0.5668883470097125
23003,1,h_D,C7,h_D->C7,6,0.03345588103657719,0.09564840399068282,0.3497798148256229
23003,1,h_E,C6,h_E->C6,6,0.025530887450391303,0.07177517472265349,0.35570637826643425
23003,1,h_I,C2,h_I->C2,6,0.04189447930217924,0.1378308224138677,0.30395581023290846
23003,1,h_I,C4,h_I->C4,6,0.04659134694919908,0.11367401683045048,0.4098680441484015
23003,1,h_I,C5,h_I->C5,5,0.09987847012021685,0.16158947396758366,0.6181001006268223
23003,1,h_T,C3,h_T->C3,5,0.03306425216467694,0.10334802927920171,0.31993113361679776
23003,1,h_T,C7,h_T->C7,6,0.047324429030108,0.09564840399068282,0.4947748948766895
23003,2,h_D,C1,h_D->C1,6,0.08395864705081289,0.11877354732024437,0.7068800161683448
23003,2,h_D,C2,h_D->C2,6,0.06356510456209875,0.12901803642650594,0.4926838628319646
23003,2,h_D,C3,h_D->C3,5,0.051898326541320886,0.10003544056630864,0.5187993999626682
23003,2,h_D,C4,h_D->C4,6,0.04672320038510763,0.1149642373893608,0.4064150856449307
23003,2,h_D,C6,h_D->C6,6,0.04048986027709241,0.07980523118284226,0.5073584735794885
23003,2,h_D,C7,h_D->C7,6,0.033392712245712275,0.09844892806415098,0.33918817504659704
23003,2,h_E,C6,h_E->C6,6,0.02542578327342197,0.07980523118284226,0.3185979527438521
23003,2,h_I,C2,h_I->C2,6,0.041749568754687105,0.12901803642650594,0.32359482372176546
23003,2,h_I,C4,h_I->C4,6,0.04675640634511,0.1149642373893608,0.406703922945609
23003,2,h_I,C5,h_I->C5,5,0.10056047368277499,0.14626863032099469,0.6875054033212856
23003,2,h_T,C3,h_T->C3,5,0.03254464324753431,0.10003544056630864,0.32533113327607843
23003,2,h_T,C7,h_T->C7,6,0.04711727841786776,0.09844892806415098,0.4785961548173155
23003,3,h_D,C1,h_D->C1,6,0.0809633245832734,0.11572547664580177,0.6996153909166978
23003,3,h_D,C2,h_D->C2,6,0.06239563083777205,0.12275746255074058,0.5082838105379797
23003,3,h_D,C3,h_D->C3,5,0.05031930711179264,0.09774835410009627,0.5147841881792697
23003,3,h_D,C4,h_D->C4,6,0.04556002680693674,0.11482707346280428,0.3967707739351046
23003,3,h_D,C6,h_D->C6,6,0.03825825934324523,0.0837789409745386,0.4566572326859049
23003,3,h_D,C7,h_D->C7,6,0.03277579968757449,0.09964835344143108,0.32891461379248726
23003,3,h_E,C6,h_E->C6,6,0.024122380527309313,0.0837789409745386,0.2879289263676949
23003,3,h_I,C2,h_I->C2,6,0.04092849478644729,0.12275746255074058,0.33340942322912953
