seed,p,criterion,active_alternatives,NS,LRV50,LRV_max,NSV_vector,pass_num_NS,pass_num_LRV,pass_num_NSV
23003,2,C1,6,0.002333684105446765,0.09255272620866666,0.21697190034642888,0.07308205949809324,True,True,True
23003,2,C2,6,0.00044255826985761804,0.03959411365469259,0.0940759717392442,0.02613790844132849,True,True,True
23003,2,C3,5,0.003453040434679644,0.09334961071575622,0.216772024099832,0.07813133600792782,True,True,True
23003,2,C4,6,0.0016088799102952356,0.06547564686088146,0.14179193587595718,0.049265101503363294,True,True,True
23003,2,C5,5,0.000955367095599069,0.07540435499258541,0.14632083593088166,0.04625649400366579,True,True,True
23003,2,C6,6,0.00405603120503939,0.10699083735709942,0.24079567001461305,0.0765643576825481,True,True,True
23003,2,C7,6,0.0008978627204815348,0.05945895353323525,0.12113644830621466,0.037196243326775145,True,True,True
23003,3,C1,6,0.005803138413122189,0.11595298016401329,0.3192500611784599,0.11489635680967814,True,True,True
23003,3,C2,6,0.0011334963803291132,0.052531198255258385,0.14993162218366418,0.043976904386105756,True,True,True
23003,3,C3,5,0.0069394508408554545,0.11386752016718843,0.28012728218632715,0.09292976823198049,True,True,True
23003,3,C4,6,0.003287525124485269,0.09828373859432997,0.19386816862315442,0.06343700045771798,True,True,True
23003,3,C5,5,0.002307310307656074,0.13338646358230252,0.21664109097274428,0.07302458412357309,True,True,True
23003,3,C6,6,0.009299209820862298,0.14275969164736274,0.33858143826419473,0.11276326247942091,True,True,True
23003,3,C7,6,0.0021724303151628988,0.08827624420424722,0.17496308100388028,0.05870066452780685,True,True,True
23003,4,C1,6,0.008626246737571397,0.12833068301587228,0.38489514347022274,0.14510888272092062,True,True,True
23003,4,C2,6,0.0017096628868107366,0.06707332562770742,0.18896227748170133,0.0581793786860784,True,True,True
23003,4,C3,5,0.008653130081132998,0.13790178439367468,0.3025954968754693,0.0971744518912083,True,True,True
23003,4,C4,6,0.004160030404022241,0.10652065821831368,0.2199822381033705,0.07022323921992701,True,True,True
23003,4,C5,5,0.0033949550038389065,0.17696397772113615,0.2637914234118019,0.09480269471733796,True,True,True
23003,4,C6,6,0.013101201420855246,0.16968246905867415,0.3902046105576829,0.13467342941963875,True,True,True
23003,4,C7,6,0.0031723405431826057,0.12146380924080062,0.20775128401850504,0.07417057316609237,True,True,True
23003,5,C1,6,0.010743421686581045,0.1590678500807342,0.43284626082809485,0.16800202986128424,True,True,True
23003,5,C2,6,0.002144330264489236,0.08125948899203174,0.21863055622925076,0.06987750805962029,True,True,True
23003,5,C3,5,0.009267341661348127,0.14092953552414728,0.3120313439488197,0.09917444292663673,True,True,True
23003,5,C4,6,0.004514411611901581,0.10962899491266126,0.23643053271306308,0.0746020100949835,True,True,True
23003,5,C5,5,0.004212317740232119,0.21246458743851565,0.29972494206359956,0.11307262891503243,True,True,True
23003,5,C6,6,0.015722183738697604,0.20068402475228794,0.4228700909922277,0.1491931861640773,True,True,True
23003,5,C7,6,0.003898684447698808,0.14813504058437657,0.23145692710532353,0.08597410168917687,True,True,True
23004,1,C1,6,0.0,1.8864303516884216e-15,2.3188463712176865e-15,2.87100359640605e-10,False,False,False
23004,1,C2,6,0.0,1.4924139714184367e-16,2.3435963928546433e-16,1.0687651840466587e-11,False,False,False
23004,1,C3,5,0.0,1.5173105863798176e-16,2.194762379508498e-16,3.7234046619033465e-11,False,False,False
23004,1,C4,6,0.0,1.4837166048920482e-16,2.0162090298917486e-16,1.1435880747933998e-11,False,False,False
23004,1,C5,5,0.0,1.5183400187385713e-16,1.9651261155686e-16,3.70721532337469e-11,False,False,False
