ctx,policy,seed,n,time,co2,dist,p95,ins,bg_t,bg_co2,net_co2,stopped,dflt,wape,bias,demand,bg,restr,signal,mass,speed_ratio
D014,SP,8103,597,377.857621440536,1036.329388979446,3203.7200000000003,484,0.4304857621440536,247.02756892230576,607.6764235974201,861151.5382360999,114234,0,0.1312467971703106,0.0133990657803078,1200,200,C,Arterial,0.0013487089893836,0.35
D014,DTT,8101,611,426.1865793780688,1122.7014383744122,3480.5074468085104,822,0.3322422258592471,246.98677248677248,607.6499770611385,915662.2701758762,138491,0.5393471659919028,0.2690265371151275,-0.0534700480132471,1200,200,C,Arterial,0.0012207289164111,0.35
D014,DTT,8102,654,393.5519877675841,1047.8399985230317,3419.8660703363907,708,0.6146788990825688,249.01808785529715,613.1871982528231,922590.8047579052,122751,0.5146141616729852,0.1995364684841511,-0.0242367978340357,1200,200,C,Arterial,0.0012873206077233,0.35
D014,DTT,8103,597,390.6030150753769,1031.713109074073,3458.090083752093,684.5999999999998,0.4304857621440536,247.02756892230576,607.6764235974201,858395.6191325922,112798,0.5542295081967213,0.2038365675527169,-0.012967596687715,1200,200,C,Arterial,0.0013130546046134,0.35
D014,ECO,8101,611,423.2945990180033,1193.5987409136178,3203.7200000000003,487,0.3322422258592471,246.98677248677248,607.6499770611385,958980.5220273308,146412,0,0.0918995404077296,0.0242097174787069,1200,200,C,Arterial,0.0012111445670263,0.35
D014,ECO,8102,654,443.0978593272171,1263.3098647565082,3203.7200000000003,498,0.6146788990825688,249.01808785529715,613.1871982528231,1063508.097274599,157504,0,0.0944290244411994,-0.0207858151300768,1200,200,C,Arterial,0.0011785065732557,0.35
D014,ECO,8103,597,377.857621440536,1036.329388979446,3203.7200000000003,484,0.4304857621440536,247.02756892230576,607.6764235974201,861151.5382360999,114234,0,0.1312467971703106,0.0133990657803078,1200,200,C,Arterial,0.0013487089893836,0.35
D014,TECO05,8101,611,367.7512274959083,972.0218722453044,3410.705793780688,653.5,0.3322422258592471,246.98677248677248,607.6499770611385,823597.0552709914,110472,0.3757400342060255,0.1621483027466537,-0.0094475452152253,1200,200,C,Arterial,0.0013308727791164,0.35
D014,TECO05,8102,654,376.58868501529054,999.459051891088,3408.4631804281344,680.35,0.6146788990825688,249.01808785529715,613.1871982528231,890949.6656606141,112903,0.3757076052178193,0.1740270664430961,-0.0440579264084609,1200,200,C,Arterial,0.0013222478159075,0.35
D014,TECO05,8103,597,368.4840871021776,970.3367100139772,3382.742278056952,664.3999999999999,0.4304857621440536,247.02756892230576,607.6764235974201,821753.908893715,103569,0.3768590530768181,0.157155912134696,-0.0417028956438268,1200,200,C,Arterial,0.0013798383973516,0.35
D014,TECO10,8101,611,363.5122749590834,970.938314039236,3355.4863666121114,657.5,0.3322422258592471,254.05555555555557,626.9551690978521,830232.3637969613,114035,0.2833920346789488,0.1692323316039435,-0.0176119657357207,1200,200,C,Arterial,0.0013275956996416,0.35
D014,TECO10,8102,654,373.34250764526,991.2992568879366,3353.781529051987,680.35,0.6146788990825688,249.01808785529715,613.1871982528231,885613.1597285529,113530,0.3023550265890098,0.1518470085290818,-0.0605569162459155,1200,200,C,Arterial,0.0013490949234901,0.35
D014,TECO10,8103,597,368.9028475711893,978.1328825260056,3361.732512562814,688.1999999999999,0.4304857621440536,250.5012531328321,616.9850515043596,830122.3664182648,107120,0.280022136137244,0.1551766135680135,-0.0662673756061186,1200,200,C,Arterial,0.0013582454066324,0.35
D014,TECO15,8101,611,382.5417348608838,1033.0220575510025,3411.76170212766,650.5,0.3322422258592471,265.9179894179894,659.6964015620472,880541.7169541162,125465,0.3166251148143288,0.1677492575329593,-0.0618919057621293,1200,200,C,Arterial,0.001262267877815,0.35
D014,TECO15,8102,654,395.0963302752294,1067.8763021879445,3355.462033639144,834.7,0.6146788990825688,271.64599483204137,676.0161340608418,960009.3455124612,135113,0.2325522482583913,0.2002693938879035,-0.0940095015362262,1200,200,C,Arterial,0.0012539457810225,0.35
D014,TECO15,8103,597,392.73701842546063,1054.6605582464283,3375.6351256281405,770.1999999999999,0.4304857621440536,301.64160401002505,757.9944532281327,932072.1401111424,138751,0.2575013638843426,0.1863142029213519,-0.1079674617728589,1200,200,C,Arterial,0.0012527976936874,0.35
D015,SP,8101,611,693.9803600654665,1956.0112350736035,3203.7200000000003,847,32.88216039279869,236.98677248677248,578.6863631529501,1413866.309901787,295444,0,0.0405537368019663,-0.0309304795097078,1200,200,L,Balanced,0.0008347135490192,0.35
D015,SP,8102,654,648.5045871559633,1832.72074825944,3203.7200000000003,886.0500000000001,26.92201834862385,238.77777777777777,583.9838383188488,1424601.1147910678,274268,0,0.065358043871369,-0.0581286491197569,1200,200,L,Balanced,0.0008827030012748,0.35
D015,SP,8103,597,581.8140703517588,1703.1246655742195,3203.7200000000003,706.1999999999999,0.52428810720268,237.02756892230576,579.2319598187086,1247878.9773154738,238130,0,0.0653574950155082,-0.0566849351687957,1200,200,L,Balanced,0.0009452630134992,0.35
D015,DTT,8101,611,473.834697217676,1267.150892633665,3631.1558101472974,673,0.3306055646481178,238.3439153439153,582.3611470629736,994361.7089889732,162899,0.6783111625216889,0.2543750756706211,0.0572635084110937,1200,200,L,Balanced,0.0010878331047089,0.35
D015,DTT,8102,654,448.65749235474,1227.777658228512,3505.859571865444,585.1500000000002,0.6100917431192661,238.77777777777777,583.9838383188488,1028968.3339108411,151258,0.6156438865643886,0.2079170333140641,0.0281573911593906,1200,200,L,Balanced,0.0011404660152972,0.35
D015,DTT,8103,597,428.0569514237856,1151.581775278686,3562.8636850921266,600,0.4304857621440536,237.02756892230576,579.2319598187086,918607.8718090402,131490,0.6203161956927673,0.2400424353740997,0.1064083697961201,1200,200,L,Balanced,0.0011756950633222,0.35
D015,ECO,8101,611,693.9803600654665,1956.0112350736035,3203.7200000000003,847,32.88216039279869,236.98677248677248,578.6863631529501,1413866.309901787,295444,0,0.0405537368019663,-0.0309304795097078,1200,200,L,Balanced,0.0008347135490192,0.35
D015,ECO,8102,654,648.5045871559633,1832.72074825944,3203.7200000000003,886.0500000000001,26.92201834862385,238.77777777777777,583.9838383188488,1424601.1147910678,274268,0,0.065358043871369,-0.0581286491197569,1200,200,L,Balanced,0.0008827030012748,0.35
D015,ECO,8103,597,581.8140703517588,1703.1246655742195,3203.7200000000003,706.1999999999999,0.52428810720268,237.02756892230576,579.2319598187086,1247878.9773154738,238130,0,0.0653574950155082,-0.0566849351687957,1200,200,L,Balanced,0.0009452630134992,0.35
D015,TECO05,8101,611,408.76432078559736,1105.1512190833023,3524.338036006546,574.5,0.3289689034369885,236.98677248677248,578.6254210148132,893967.8040034971,138810,0.5278495020287717,0.2336737804266906,0.1178666386272729,1200,200,L,Balanced,0.0011775099936274,0.35
D015,TECO05,8102,654,448.65749235474,1227.777658228512,3505.859571865444,585.1500000000002,0.6100917431192661,238.77777777777777,583.9838383188488,1028968.3339108411,151258,0.6156438865643886,0.2079170333140641,0.0281573911593906,1200,200,L,Balanced,0.0011404660152972,0.35
D015,TECO05,8103,597,407.2412060301508,1105.7753403896272,3478.907571189279,543,0.4137353433835846,237.04511278195488,579.2541973467743,891270.3029539704,127012,0.521756072217171,0.2062827687484597,0.0692748297024738,1200,200,L,Balanced,0.0012056360591213,0.35
D015,TECO10,8101,611,642.6513911620294,1854.7893771852496,3218.095777414075,797,13.811783960720131,236.98677248677248,578.6863631529501,1352019.754732003,277666,0.0268555407997639,0.0620526198923239,-0.029724197871889,1200,200,L,Balanced,0.0008633610872705,0.35
D015,TECO10,8102,654,415.6406727828746,1145.2792839315937,3468.209021406728,526.7,0.6100917431192661,238.77777777777777,583.9838383188488,975014.3971206566,139456,0.2369866284622731,0.1625808736585026,0.0034450964534842,1200,200,L,Balanced,0.0011680060951477,0.35
D015,TECO10,8103,597,403.0938023450586,1112.2381580351116,3432.8208375209383,498.19999999999993,0.4304857621440536,237.02756892230576,579.2319598187086,895119.7323146263,130413,0.353273289420621,0.1385394508528875,0.0644936288633173,1200,200,L,Balanced,0.0011881886293181,0.35
D015,TECO15,8101,611,693.9803600654665,1956.0112350736035,3203.7200000000003,847,32.88216039279869,236.98677248677248,578.6863631529501,1413866.309901787,295444,0,0.0405537368019663,-0.0309304795097078,1200,200,L,Balanced,0.0008347135490192,0.35
D015,TECO15,8102,654,573.2752293577981,1644.9401701646095,3225.784525993884,805,10.140672782874615,238.77777777777777,583.9838383188488,1301792.6167170492,239485,0.0410376063683777,0.0791682984859424,-0.0610252143363943,1200,200,L,Balanced,0.0009478625429774,0.35
