seed,kappa,factor,criterion,pathway,active_alternatives,RE,base_IQR,SRE
21002,0.7,h_I,C5,h_I->C5,5,0.06790454389983533,0.13125791574797788,0.5173367527006775
21002,0.7,h_T,C3,h_T->C3,5,0.013978745744866329,0.10059140757857625,0.138965604331642
21002,0.7,h_T,C7,h_T->C7,6,0.03454728886948574,0.09283459451537161,0.372138091941504
21002,0.8,h_D,C1,h_D->C1,6,0.05382122191400364,0.092711433338681,0.5805241055524472
21002,0.8,h_D,C2,h_D->C2,6,0.04045875149743586,0.1209855156519119,0.3344098777369809
21002,0.8,h_D,C3,h_D->C3,5,0.02050928288354957,0.1039732202390345,0.19725543593053538
21002,0.8,h_D,C4,h_D->C4,6,0.019220072401538404,0.11685229844915201,0.16448176592553282
21002,0.8,h_D,C6,h_D->C6,6,0.020245739702061345,0.04754349797321059,0.42583614089656185
21002,0.8,h_D,C7,h_D->C7,6,0.022105208579447325,0.09463900118786542,0.2335739843168175
21002,0.8,h_E,C6,h_E->C6,6,0.013568216980808259,0.04754349797321059,0.28538533256783455
21002,0.8,h_I,C2,h_I->C2,6,0.0270846041756774,0.1209855156519119,0.22386650194870267
21002,0.8,h_I,C4,h_I->C4,6,0.019368788864111253,0.11685229844915201,0.1657544534511127
21002,0.8,h_I,C5,h_I->C5,5,0.06798223770569603,0.1300037640187598,0.5229251492700099
21002,0.8,h_T,C3,h_T->C3,5,0.013978053513362215,0.1039732202390345,0.13443897843206376
21002,0.8,h_T,C7,h_T->C7,6,0.034438842210602734,0.09463900118786542,0.3638969323215403
21002,0.9,h_D,C1,h_D->C1,6,0.053686683627411066,0.09518704522013624,0.5640125029901649
21002,0.9,h_D,C2,h_D->C2,6,0.04016791215866301,0.12542155204098243,0.32026323629943265
21002,0.9,h_D,C3,h_D->C3,5,0.020435003600171975,0.10751527721378167,0.1900660457708654
21002,0.9,h_D,C4,h_D->C4,6,0.019100151262011394,0.11651606087591487,0.1639271969740583
21002,0.9,h_D,C6,h_D->C6,6,0.020128672253683897,0.04835182380364097,0.4162960291841542
21002,0.9,h_D,C7,h_D->C7,6,0.021953389244447532,0.09691489379692693,0.2265223474342509
21002,0.9,h_E,C6,h_E->C6,6,0.013453227181899872,0.04835182380364097,0.2782361889027356
21002,0.9,h_I,C2,h_I->C2,6,0.02686419426401839,0.12542155204098243,0.21419121216923007
21002,0.9,h_I,C4,h_I->C4,6,0.01939236256834464,0.11651606087591487,0.16643510278664778
21002,0.9,h_I,C5,h_I->C5,5,0.06761855160054792,0.13030392761555062,0.5189294968877002
21002,0.9,h_T,C3,h_T->C3,5,0.013855939806252522,0.10751527721378167,0.12887414854144605
21002,0.9,h_T,C7,h_T->C7,6,0.034272237267665054,0.09691489379692693,0.35363230484598807
21002,1.0,h_D,C1,h_D->C1,6,0.05364544747578849,0.09780491069877123,0.5484944170182037
21002,1.0,h_D,C2,h_D->C2,6,0.039843254165942435,0.13039113895833976,0.30556719178875236
21002,1.0,h_D,C3,h_D->C3,5,0.02036534740722855,0.11111186382182113,0.1832868850053952
21002,1.0,h_D,C4,h_D->C4,6,0.01904042669413488,0.11657879471479748,0.1633266730931018
21002,1.0,h_D,C6,h_D->C6,6,0.020094886585625797,0.04850582936712041,0.41427776511399683
21002,1.0,h_D,C7,h_D->C7,6,0.021860089326967525,0.09861053724023261,0.2216810691690161
21002,1.0,h_E,C6,h_E->C6,6,0.013369688047160076,0.04850582936712041,0.2756305421704028
21002,1.0,h_I,C2,h_I->C2,6,0.026705524855107333,0.13039113895833976,0.20481088721400764
21002,1.0,h_I,C4,h_I->C4,6,0.019329107106770098,0.11657879471479748,0.1658029417261665
21002,1.0,h_I,C5,h_I->C5,5,0.06743025702483435,0.1288675627398816,0.523252365379321
21002,1.0,h_T,C3,h_T->C3,5,0.0137223098231503,0.11111186382182113,0.12349995176961374
21002,1.0,h_T,C7,h_T->C7,6,0.03392523334855899,0.09861053724023261,0.34403253747180307
21003,0.0,h_D,C1,h_D->C1,6,0.03888976865310149,0.09693691902648639,0.40118634925950475
21003,0.0,h_D,C2,h_D->C2,6,0.03657752911611439,0.12733511043431517,0.2872540730601979
21003,0.0,h_D,C3,h_D->C3,5,0.03364494777834748,0.09812004708685207,0.34289575654426024
21003,0.0,h_D,C4,h_D->C4,6,0.030871625824715976,0.13722794923916193,0.22496602183194986
21003,0.0,h_D,C6,h_D->C6,6,0.024356567600481452,0.05925050091199934,0.41107783436709666
21003,0.0,h_D,C7,h_D->C7,6,0.018388485984055382,0.10434402286510827,0.1762294138079288
21003,0.0,h_E,C6,h_E->C6,6,0.017430565827587396,0.05925050091199934,0.29418427792166046
21003,0.0,h_I,C2,h_I->C2,6,0.025584366772578533,0.12733511043431517,0.2009215422605308
21003,0.0,h_I,C4,h_I->C4,6,0.032356262472560314,0.13722794923916193,0.23578478474478828
21003,0.0,h_I,C5,h_I->C5,5,0.05771851103648562,0.11622485030733709,0.4966107582273679
21003,0.0,h_T,C3,h_T->C3,5,0.024050412749302256,0.09812004708685207,0.24511211992966786
21003,0.0,h_T,C7,h_T->C7,6,0.029647698890316633,0.10434402286510827,0.2841341370205732
21003,0.1,h_D,C1,h_D->C1,6,0.03896929672977793,0.09880234872865505,0.3944167039632478
