seed,kappa,criterion,min_active_g,max_active_g,max_active_theta,max_g_minus_max_theta,structural_zero_max_abs,lower_bound_ok,upper_bound_ok,structural_zero_ok,curvature_mean
21002,0.3,C3,0.0006954988751272557,0.33534670851826537,0.33649646827274804,-0.001149759754482671,0.0,True,True,True,0.0
21002,0.3,C4,0.0002332543566885517,0.364562134970048,0.36681709869596135,-0.002254963725913328,0.0,True,True,True,5.551115123125783e-17
21002,0.3,C5,6.558838021334454e-05,0.3691088041420539,0.3692181014061877,-0.00010929726413383412,0.0,True,True,True,0.0
21002,0.3,C6,0.00027236717797419227,0.14622139646521115,0.1466646246821684,-0.0004432282169572477,0.0,True,True,True,5.551115123125783e-17
21002,0.3,C7,0.0013778618411617559,0.38089594583043096,0.3819528129804527,-0.0010568671500217341,0.0,True,True,True,3.700743415417188e-17
21002,0.4,C1,8.965672586411768e-05,0.34910984401455153,0.34921804574063176,-0.00010820172608022594,0.0,True,True,True,3.700743415417188e-17
21002,0.4,C2,0.0004012420951693763,0.29134986531100593,0.2928222552156142,-0.0014723899046082956,0.0,True,True,True,5.551115123125783e-17
21002,0.4,C3,0.0005982103147913726,0.33534670851826537,0.33649646827274804,-0.001149759754482671,0.0,True,True,True,0.0
21002,0.4,C4,0.00021248823724499133,0.3647256287814334,0.36681709869596135,-0.002091469914527966,0.0,True,True,True,5.551115123125783e-17
21002,0.4,C5,6.558838021334454e-05,0.3691040531508456,0.3692181014061877,-0.00011404825534211405,0.0,True,True,True,0.0
21002,0.4,C6,0.0002336723109867968,0.1462843257075219,0.1466646246821684,-0.00038029897464650353,0.0,True,True,True,5.551115123125783e-17
21002,0.4,C7,0.0011867107630020727,0.3810460771448062,0.3819528129804527,-0.0009067358356464883,0.0,True,True,True,3.700743415417188e-17
21002,0.5,C1,7.706713710421723e-05,0.349112195364969,0.34921804574063176,-0.00010585037566274158,0.0,True,True,True,3.700743415417188e-17
21002,0.5,C2,0.000369745721270624,0.291465098892103,0.2928222552156142,-0.0013571563235112438,0.0,True,True,True,5.551115123125783e-17
21002,0.5,C3,0.0005009217544554896,0.33534670851826537,0.33649646827274804,-0.001149759754482671,0.0,True,True,True,0.0
21002,0.5,C4,0.00017731463360611427,0.3648891225928187,0.36681709869596135,-0.001927976103142659,0.0,True,True,True,5.551115123125783e-17
21002,0.5,C5,6.558838021334454e-05,0.3690993021596374,0.3692181014061877,-0.00011879924655033847,0.0,True,True,True,0.0
21002,0.5,C6,0.00019497744399940133,0.14634725494983264,0.1466646246821684,-0.0003173697323357594,0.0,True,True,True,5.551115123125783e-17
21002,0.5,C7,0.0009955596848423894,0.38119620845918145,0.3819528129804527,-0.0007566045212712424,0.0,True,True,True,3.700743415417188e-17
21002,0.6,C1,6.168771330575919e-05,0.34911454671538644,0.34921804574063176,-0.00010349902524531274,0.0,True,True,True,3.700743415417188e-17
21002,0.6,C2,0.0003142412354887486,0.2915803324732,0.2928222552156142,-0.0012419227424142476,0.0,True,True,True,5.551115123125783e-17
21002,0.6,C3,0.0004036331941196066,0.33534670851826537,0.33649646827274804,-0.001149759754482671,0.0,True,True,True,0.0
21002,0.6,C4,0.00014214102996723728,0.36505261640420406,0.36681709869596135,-0.0017644822917572967,0.0,True,True,True,5.551115123125783e-17
21002,0.6,C5,6.558838021334454e-05,0.36909455116842915,0.3692181014061877,-0.00012355023775856289,0.0,True,True,True,0.0
21002,0.6,C6,0.00015628257701200585,0.14641018419214333,0.1466646246821684,-0.00025444049002507074,0.0,True,True,True,5.551115123125783e-17
21002,0.6,C7,0.0008044086066827062,0.38134633977355664,0.3819528129804527,-0.0006064732068960521,0.0,True,True,True,3.700743415417188e-17
21002,0.7,C1,4.630828950730114e-05,0.34911689806580387,0.34921804574063176,-0.0001011476748278839,0.0,True,True,True,3.700743415417188e-17
21002,0.7,C2,0.0002365277406684439,0.291695566054297,0.2928222552156142,-0.0011266891613172514,0.0,True,True,True,5.551115123125783e-17
