seed,rotation,criterion,alternative_a,alternative_b,contexts_used,lrv
21001,5,C1,A1,A4,1000,0.15955893454808795
21001,5,C1,A1,A5,1000,0.05333429017215232
21001,5,C1,A1,A6,1000,0.06170184498205668
21001,5,C1,A2,A3,1000,0.2508297601481631
21001,5,C1,A2,A4,1000,0.3246860962504143
21001,5,C1,A2,A5,1000,0.42953906319314933
21001,5,C1,A2,A6,1000,0.42131602981828586
21001,5,C1,A3,A4,1000,0.07447301465944624
21001,5,C1,A3,A5,1000,0.18064704245848445
21001,5,C1,A3,A6,1000,0.17230187549438794
21001,5,C1,A4,A5,1000,0.10631198453925993
21001,5,C1,A4,A6,1000,0.09795014746473957
21001,5,C1,A5,A6,1000,0.008370233364454966
21001,5,C2,A1,A2,1000,0.20024004527851202
21001,5,C2,A1,A3,1000,0.14937229342565878
21001,5,C2,A1,A4,1000,0.13351097537018985
21001,5,C2,A1,A5,1000,0.030541915551493957
21001,5,C2,A1,A6,1000,0.0431758596916098
21001,5,C2,A2,A3,1000,0.051076023758020776
21001,5,C2,A2,A4,1000,0.06697289471353926
21001,5,C2,A2,A5,1000,0.16983912519081737
21001,5,C2,A2,A6,1000,0.15724873507962758
21001,5,C2,A3,A4,1000,0.015904405970417416
21001,5,C2,A3,A5,1000,0.11890408282518715
21001,5,C2,A3,A6,1000,0.10628953835077858
21001,5,C2,A4,A5,1000,0.10302617741948224
21001,5,C2,A4,A6,1000,0.09040593397654553
21001,5,C2,A5,A6,1000,0.012636224532212834
21001,5,C3,A1,A2,1000,0.130181855853714
21001,5,C3,A1,A3,1000,0.2912283898874821
21001,5,C3,A1,A4,1000,0.09953787423968917
21001,5,C3,A1,A6,1000,0.017680198409458617
21001,5,C3,A2,A3,1000,0.1618753618643007
21001,5,C3,A2,A4,1000,0.030696982605420864
21001,5,C3,A2,A6,1000,0.14781646370909063
21001,5,C3,A3,A4,1000,0.19244099291759098
21001,5,C3,A3,A6,1000,0.30869646219424696
21001,5,C3,A4,A6,1000,0.11719035359578717
21001,5,C4,A1,A2,1000,0.29641741514734676
21001,5,C4,A1,A3,1000,0.19260761861688144
21001,5,C4,A1,A4,1000,0.1927410463236948
21001,5,C4,A1,A5,1000,0.13630458220058095
21001,5,C4,A1,A6,1000,0.11351729011808313
21001,5,C4,A2,A3,1000,0.10465168006767651
21001,5,C4,A2,A4,1000,0.10451776315310127
21001,5,C4,A2,A5,1000,0.16102789591105598
21001,5,C4,A2,A6,1000,0.18376967766720756
21001,5,C4,A3,A4,1000,0.0001341281539208912
21001,5,C4,A3,A5,1000,0.05651213942427087
21001,5,C4,A3,A6,1000,0.07933512303037821
21001,5,C4,A4,A5,1000,0.0566462069460325
21001,5,C4,A4,A6,1000,0.07946913193873614
21001,5,C4,A5,A6,1000,0.022837392182813474
21001,5,C5,A1,A3,1000,0.2187460493919555
21001,5,C5,A1,A4,1000,0.18616894293088937
